Location ID,Location,Value
FL-083,Marion County,74.7
FL-085,Martin County,78
FL-086,Miami-Dade County,79.2
FL-087,Monroe County,79.6
FL-089,Nassau County,72.6
FL-091,Okaloosa County,71.2
FL-093,Okeechobee County,76.6
FL-095,Orange County,76.3
FL-097,Osceola County,76.4
FL-099,Palm Beach County,78.1
FL-101,Pasco County,76.1
FL-103,Pinellas County,77.2
FL-105,Polk County,76.6
FL-107,Putnam County,75
FL-109,St. Johns County,74.7
FL-111,St. Lucie County,77.1
FL-113,Santa Rosa County,70.9
FL-115,Sarasota County,76.9
FL-117,Seminole County,76.2
FL-119,Sumter County,75.5
FL-121,Suwannee County,71.7
FL-123,Taylor County,72.8
FL-125,Union County,72.2
FL-127,Volusia County,75.4
FL-129,Wakulla County,72.6
FL-131,Walton County,71.4
FL-133,Washington County,71.9
GA-001,Appling County,70.8
GA-003,Atkinson County,71
GA-005,Bacon County,71.2
GA-007,Baker County,70.8
GA-009,Baldwin County,68.2
GA-011,Banks County,64.3
GA-013,Barrow County,64.6
GA-015,Bartow County,64.4
GA-017,Ben Hill County,70.4
GA-019,Berrien County,70.3
GA-021,Bibb County,68.5
GA-023,Bleckley County,69.2
GA-025,Brantley County,71.1
GA-027,Brooks County,70.5
GA-029,Bryan County,71.5
GA-031,Bulloch County,70.3
GA-033,Burke County,69
GA-035,Butts County,66.9
GA-037,Calhoun County,70.3
GA-039,Camden County,71.9
GA-043,Candler County,70
GA-045,Carroll County,65
GA-047,Catoosa County,64.6
GA-049,Charlton County,71.8
GA-051,Chatham County,71.9
GA-053,Chattahoochee County,67.9
GA-055,Chattooga County,64.3
GA-057,Cherokee County,63.4
GA-059,Clarke County,65.3
GA-061,Clay County,69.6
GA-063,Clayton County,65.8
GA-065,Clinch County,70.8
GA-067,Cobb County,64.9
GA-069,Coffee County,70.9
GA-071,Colquitt County,70
GA-073,Columbia County,67.9
GA-075,Cook County,70.1
GA-077,Coweta County,66.1
GA-079,Crawford County,68.1
GA-081,Crisp County,70
GA-083,Dade County,63.2
GA-085,Dawson County,61.8
GA-087,Decatur County,71.3
GA-089,DeKalb County,65.1
GA-091,Dodge County,69.7
GA-093,Dooly County,69.6
GA-095,Dougherty County,70.7
GA-097,Douglas County,65.3
GA-099,Early County,70.6
GA-101,Echols County,70.6
GA-103,Effingham County,70.7
GA-105,Elbert County,65.5
GA-107,Emanuel County,69.3
GA-109,Evans County,70.6
GA-111,Fannin County,59.7
GA-113,Fayette County,66.2
GA-115,Floyd County,64.8
GA-117,Forsyth County,63.1
GA-119,Franklin County,64.4
GA-121,Fulton County,65.1
GA-123,Gilmer County,60.5
GA-125,Glascock County,67.5
GA-127,Glynn County,71.7
GA-129,Gordon County,64.2
GA-131,Grady County,71
GA-133,Greene County,66.4
GA-135,Gwinnett County,64.2
GA-137,Habersham County,62.3
GA-139,Hall County,63.4
GA-141,Hancock County,67.3
GA-143,Haralson County,64.5
GA-145,Harris County,66.7
GA-147,Hart County,64.8
GA-149,Heard County,65.6
GA-151,Henry County,66.2
GA-153,Houston County,69.1
GA-155,Irwin County,70.4
GA-157,Jackson County,64.6
GA-159,Jasper County,67.2
GA-161,Jeff Davis County,70.7
GA-163,Jefferson County,68.1
GA-165,Jenkins County,69.4
GA-167,Johnson County,68.6
GA-169,Jones County,68
GA-171,Lamar County,67
GA-173,Lanier County,70.3
GA-175,Laurens County,69.3
GA-177,Lee County,70.2
GA-179,Liberty County,71.5
GA-181,Lincoln County,66.7
GA-183,Long County,71.2
GA-185,Lowndes County,70.3
GA-187,Lumpkin County,61.2
GA-189,McDuffie County,67.3
GA-191,McIntosh County,71.8
GA-193,Macon County,68.8
GA-195,Madison County,64.6
GA-197,Marion County,67.5
GA-199,Meriwether County,66.3
GA-201,Miller County,70.9
GA-205,Mitchell County,70.7
GA-207,Monroe County,67.6
GA-209,Montgomery County,70.2
GA-211,Morgan County,66.6
GA-213,Murray County,63.3
GA-215,Muscogee County,67.9
GA-217,Newton County,66.2
GA-219,Oconee County,65.7
GA-221,Oglethorpe County,65.5
GA-223,Paulding County,64.8
GA-225,Peach County,68.5
GA-227,Pickens County,62
GA-229,Pierce County,71.2
GA-231,Pike County,66.7
GA-233,Polk County,65.2
GA-235,Pulaski County,69.6
GA-237,Putnam County,67.5
GA-239,Quitman County,68.7
GA-241,Rabun County,60.3
GA-243,Randolph County,69.1
GA-245,Richmond County,69.1
GA-247,Rockdale County,65.6
GA-249,Schley County,68.2
GA-251,Screven County,69.6
GA-253,Seminole County,71.4
GA-255,Spalding County,66.7
GA-257,Stephens County,63.9
GA-259,Stewart County,68.1
GA-261,Sumter County,69.2
GA-263,Talbot County,66.9
GA-265,Taliaferro County,66.4
GA-267,Tattnall County,70.6
GA-269,Taylor County,67.7
GA-271,Telfair County,70.4
GA-273,Terrell County,69.7
GA-275,Thomas County,70.7
GA-277,Tift County,70
GA-279,Toombs County,70.4
GA-281,Towns County,59.3
GA-283,Treutlen County,69.6
GA-285,Troup County,66.1
GA-287,Turner County,69.9
GA-289,Twiggs County,68.9
GA-291,Union County,59.4
GA-293,Upson County,67.2
GA-295,Walker County,64
GA-297,Walton County,65.4
GA-299,Ware County,71.4
GA-301,Warren County,67
GA-303,Washington County,68.2
GA-305,Wayne County,71
GA-307,Webster County,68.3
GA-309,Wheeler County,70.3
GA-311,White County,61.4
GA-313,Whitfield County,64.4
GA-315,Wilcox County,70
GA-317,Wilkes County,66.1
GA-319,Wilkinson County,68.7
GA-321,Worth County,70
ID-001,Ada County,55.8
ID-003,Adams County,47.2
ID-005,Bannock County,49.2
ID-007,Bear Lake County,44.1
ID-009,Benewah County,49.2
